

Time Index	X1 in mm	W1 in mm	Y1 in %	X2 in °C	W2 in °C	Y2 in %	F1 in l/h	T1 in °C	T2 in °C	T3 in °C	Pos in %	
00:00.73	259.625000	250.000000	53.779964	28.838675	20.000000	0.000000	205.080002	28.838675	28.012646	26.567129	0.485000	
00:01.74	259.062500	250.000000	53.985790	28.838675	20.000000	0.000000	205.080002	28.838675	28.012646	26.567129	0.485000	
00:02.73	258.875000	250.000000	54.935581	28.787037	20.000000	0.000000	205.080002	28.787037	28.012646	26.567129	0.485000	
00:03.73	258.375000	250.000000	55.758770	28.787037	20.000000	0.000000	205.080002	28.787037	28.012646	26.567129	0.485000	
00:04.73	258.125000	250.000000	56.470428	28.838675	20.000000	0.000000	205.080002	28.838675	28.012646	26.567129	0.485000	
00:05.73	257.500000	250.000000	56.363346	28.838675	20.000000	0.000000	205.080002	28.838675	28.012646	26.567129	0.485000	
00:06.73	257.187500	250.000000	57.331760	28.838675	20.000000	0.000000	205.080002	28.838675	28.012646	26.567129	0.485000	
00:07.73	256.875000	250.000000	57.655113	28.838675	20.000000	0.000000	205.080002	28.838675	28.012646	26.567129	0.485000	
00:08.73	256.375000	250.000000	57.643127	28.890289	20.000000	0.000000	205.080002	28.890289	28.012646	26.567129	0.485000	
00:09.73	255.937485	250.000000	58.071941	28.890289	20.000000	0.000000	205.080002	28.890289	28.012646	26.567129	0.485000	
00:10.73	255.312500	250.000000	57.680695	28.890289	20.000000	0.000000	205.080002	28.890289	28.012646	26.567129	0.485000	
00:11.73	254.687485	250.000000	57.108818	28.890289	20.000000	0.000000	205.080002	28.890289	28.012646	26.567129	0.485000	
00:12.73	253.874985	250.000000	56.474747	28.890289	20.000000	0.000000	205.080002	28.890289	28.012646	26.670380	0.485000	
00:13.74	253.250000	250.000000	55.743244	28.890289	20.000000	0.000000	205.080002	28.890289	28.012646	26.670380	0.485000	
00:14.73	252.437500	250.000000	54.773895	28.890289	20.000000	0.000000	205.080002	28.890289	28.012646	26.670380	0.485000	
00:15.73	251.562500	250.000000	53.348869	28.890289	20.000000	0.000000	205.080002	28.890289	28.012646	26.670380	0.485000	
